Georgia Department of Education
FTE Enrollment by Race/Ethnicity and Gender - Fiscal Year 2023-3 Data Report
"March 2, 2023 (FTE 2023-3)"
 
System ID, System Name,School ID,  Gender,  Ethnic Hispanic,  Race AmericanIndian,  Race Asian,  Race Black,  Race Pacific Islander,  Race White,  Two or more Races 
"602","Atkinson County","0187-Willacoochee Elementary School","Total","46","*","*","47","*","75","*"
"602","Atkinson County","0190-Pearson Elementary School","Female","145","*","*","26","*","120","*"
"602","Atkinson County","0190-Pearson Elementary School","Male","162","*","*","36","*","130","*"
"602","Atkinson County","0190-Pearson Elementary School","Total","307","*","*","62","*","250","*"
"603","Bacon County","0102-Bacon County Primary School","Female","45","*","*","68","*","151","*"
"603","Bacon County","0102-Bacon County Primary School","Male","41","*","*","70","*","169","*"
"603","Bacon County","0102-Bacon County Primary School","Total","86","*","*","138","*","320","*"
"603","Bacon County","0202-Bacon County Middle School","Female","32","*","*","57","*","137","*"
"603","Bacon County","0202-Bacon County Middle School","Male","34","*","*","47","*","125","*"
"603","Bacon County","0202-Bacon County Middle School","Total","66","*","*","104","*","262","*"
"603","Bacon County","0302-Bacon County High School","Female","56","*","*","54","*","170","*"
"603","Bacon County","0302-Bacon County High School","Male","59","*","*","59","*","192","16"
"603","Bacon County","0302-Bacon County High School","Total","115","*","*","113","*","362","*"
"603","Bacon County","3050-Bacon County Elementary School","Female","31","*","*","56","*","115","*"
"603","Bacon County","3050-Bacon County Elementary School","Male","44","*","*","48","*","131","16"
"603","Bacon County","3050-Bacon County Elementary School","Total","75","*","*","104","*","246","*"
"604","Baker County","0105-Baker County K12 School","Female","*","*","*","83","*","32","*"
"604","Baker County","0105-Baker County K12 School","Male","20","*","*","82","*","45","*"
"604","Baker County","0105-Baker County K12 School","Total","*","*","*","165","*","77","*"
"604","Baker County","0183-Baker County Learning Academy","Female","*","*","*","*","*","*","*"
"604","Baker County","0183-Baker County Learning Academy","Male","*","*","*","*","*","*","*"
"604","Baker County","0183-Baker County Learning Academy","Total","*","*","*","*","*","*","*"
"605","Baldwin County","0100-Oak Hill MS","Female","22","*","*","326","*","111","25"
"605","Baldwin County","0100-Oak Hill MS","Male","17","*","*","311","*","114","32"
"605","Baldwin County","0100-Oak Hill MS","Total","39","*","*","637","*","225","57"
"605","Baldwin County","0189-Baldwin High School","Female","26","*","*","450","*","99","38"
"605","Baldwin County","0189-Baldwin High School","Male","25","*","*","440","*","126","21"
"605","Baldwin County","0189-Baldwin High School","Total","51","*","*","890","*","225","59"
"605","Baldwin County","0300-Lakeview Academy","Female","23","*","*","212","*","80","*"
"605","Baldwin County","0300-Lakeview Academy","Male","20","*","*","187","*","70","23"
"605","Baldwin County","0300-Lakeview Academy","Total","43","*","*","399","*","150","*"
"605","Baldwin County","0301-Midway Hills Primary","Female","*","*","*","145","*","63","*"
"605","Baldwin County","0301-Midway Hills Primary","Male","*","*","*","165","*","64","*"
"605","Baldwin County","0301-Midway Hills Primary","Total","*","*","*","310","*","127","*"
"605","Baldwin County","0302-Lakeview Primary","Female","32","*","*","254","*","84","31"
"605","Baldwin County","0302-Lakeview Primary","Male","17","*","*","274","*","101","22"
"605","Baldwin County","0302-Lakeview Primary","Total","49","*","*","528","*","185","53"
"605","Baldwin County","0303-Midway Hills Academy","Female","*","*","*","141","*","62","*"
"605","Baldwin County","0303-Midway Hills Academy","Male","*","*","*","128","*","58","*"
"605","Baldwin County","0303-Midway Hills Academy","Total","*","*","*","269","*","120","*"
"606","Banks County","0105-Banks County Middle School","Female","37","*","*","*","*","251","*"
"606","Banks County","0105-Banks County Middle School","Male","37","*","*","*","*","274","*"
"606","Banks County","0105-Banks County Middle School","Total","74","*","*","*","*","525","*"
"606","Banks County","0107-Banks County Elementary School","Female","33","*","*","*","*","260","*"
"606","Banks County","0107-Banks County Elementary School","Male","34","*","*","*","*","275","15"
"606","Banks County","0107-Banks County Elementary School","Total","67","*","*","*","*","535","*"
"606","Banks County","0199-Banks County High School","Female","53","*","*","*","*","304","*"
"606","Banks County","0199-Banks County High School","Male","47","*","*","*","*","375","*"
"606","Banks County","0199-Banks County High School","Total","100","*","*","*","*","679","*"
"606","Banks County","0205-Banks County Primary School","Female","41","*","*","*","*","263","25"
"606","Banks County","0205-Banks County Primary School","Male","62","*","*","*","*","298","18"
"606","Banks County","0205-Banks County Primary School","Total","103","*","*","*","*","561","43"
"607","Barrow County","0101-Apalachee High School","Female","233","*","28","165","*","399","41"
"607","Barrow County","0101-Apalachee High School","Male","275","*","46","168","*","449","56"
"607","Barrow County","0101-Apalachee High School","Total","508","*","74","333","*","848","97"
"607","Barrow County","0105-County Line Elementary School","Female","58","*","15","20","*","170","*"
"607","Barrow County","0105-County Line Elementary School","Male","98","*","*","18","*","166","23"
"607","Barrow County","0105-County Line Elementary School","Total","156","*","*","38","*","336","*"
"607","Barrow County","0106-Haymon-Morris Middle School","Female","120","*","18","73","*","177","16"
"607","Barrow County","0106-Haymon-Morris Middle School","Male","104","*","*","70","*","199","24"
"607","Barrow County","0106-Haymon-Morris Middle School","Total","224","*","*","143","*","376","40"
"607","Barrow County","0114-Bear Creek Middle School","Female","84","*","*","42","*","175","25"
"607","Barrow County","0114-Bear Creek Middle School","Male","100","*","17","50","*","154","18"
"607","Barrow County","0114-Bear Creek Middle School","Total","184","*","*","92","*","329","43"
"607","Barrow County","0189-Kennedy Elementary School","Female","142","*","16","94","*","197","32"
"607","Barrow County","0189-Kennedy Elementary School","Male","140","*","24","93","*","169","32"
"607","Barrow County","0189-Kennedy Elementary School","Total","282","*","40","187","*","366","64"
"607","Barrow County","0193-Bramlett Elementary School","Female","77","*","20","25","*","203","18"
"607","Barrow County","0193-Bramlett Elementary School","Male","75","*","29","20","*","193","*"
"607","Barrow County","0193-Bramlett Elementary School","Total","152","*","49","45","*","396","*"
"607","Barrow County","0198-Westside Middle School","Female","123","*","20","63","*","145","25"
"607","Barrow County","0198-Westside Middle School","Male","125","*","18","63","*","140","20"
"607","Barrow County","0198-Westside Middle School","Total","248","*","38","126","*","285","45"
"607","Barrow County","0205-Bethlehem Elementary School","Female","106","*","25","27","*","247","28"
"607","Barrow County","0205-Bethlehem Elementary School","Male","99","*","17","60","*","238","22"
"607","Barrow County","0205-Bethlehem Elementary School","Total","205","*","42","87","*","485","50"
"607","Barrow County","0289-Russell Middle School","Female","115","*","27","57","*","209","27"
"607","Barrow County","0289-Russell Middle School","Male","132","*","32","53","*","251","31"
"607","Barrow County","0289-Russell Middle School","Total","247","*","59","110","*","460","58"
"607","Barrow County","0298-Yargo Elementary School","Female","118","*","16","95","*","169","31"
"607","Barrow County","0298-Yargo Elementary School","Male","128","*","*","96","*","209","39"
"607","Barrow County","0298-Yargo Elementary School","Total","246","*","*","191","*","378","70"
"607","Barrow County","0299-Winder Elementary School","Female","86","*","*","75","*","126","29"
"607","Barrow County","0299-Winder Elementary School","Male","98","*","*","72","*","138","23"
"607","Barrow County","0299-Winder Elementary School","Total","184","*","*","147","*","264","52"
"607","Barrow County","0300-Barrow Arts and Sciences Academy","Female","103","*","29","79","*","329","28"
"607","Barrow County","0300-Barrow Arts and Sciences Academy","Male","102","*","26","36","*","269","27"
"607","Barrow County","0300-Barrow Arts and Sciences Academy","Total","205","*","55","115","*","598","55"
"607","Barrow County","1050-Auburn Elementary School","Female","127","*","19","35","*","170","26"
"607","Barrow County","1050-Auburn Elementary School","Male","118","*","16","43","*","203","34"
"607","Barrow County","1050-Auburn Elementary School","Total","245","*","35","78","*","373","60"
"607","Barrow County","3052-Winder-Barrow High School","Female","210","*","36","115","*","411","32"
"607","Barrow County","3052-Winder-Barrow High School","Male","211","*","54","145","*","452","35"
"607","Barrow County","3052-Winder-Barrow High School","Total","421","*","90","260","*","863","67"
"607","Barrow County","4050-Holsenbeck Elementary School","Female","119","*","*","41","*","203","39"
"607","Barrow County","4050-Holsenbeck Elementary School","Male","88","*","23","35","*","244","18"
"607","Barrow County","4050-Holsenbeck Elementary School","Total","207","*","*","76","*","447","57"
"607","Barrow County","5050-Statham Elementary School","Female","79","*","17","67","*","196","34"
"607","Barrow County","5050-Statham Elementary School","Male","93","*","*","67","*","231","32"
"607","Barrow County","5050-Statham Elementary School","Total","172","*","*","134","*","427","66"
"608","Bartow County","0101-Woodland Middle School at Euharlee","Female","48","*","*","27","*","266","*"
"608","Bartow County","0101-Woodland Middle School at Euharlee","Male","44","*","*","22","*","261","*"
"608","Bartow County","0101-Woodland Middle School at Euharlee","Total","92","*","*","49","*","527","*"
"608","Bartow County","0104-Clear Creek Elementary School","Female","31","*","*","*","*","272","18"
"608","Bartow County","0104-Clear Creek Elementary School","Male","38","*","*","*","*","270","23"
"608","Bartow County","0104-Clear Creek Elementary School","Total","69","*","*","*","*","542","41"
"608","Bartow County","0105-Adairsville High School","Female","48","*","*","30","*","452","19"
"608","Bartow County","0105-Adairsville High School","Male","67","*","*","30","*","461","19"
"608","Bartow County","0105-Adairsville High School","Total","115","*","*","60","*","913","38"
"608","Bartow County","0106-Pine Log Elementary","Female","19","*","*","*","*","161","*"
"608","Bartow County","0106-Pine Log Elementary","Male","21","*","*","*","*","185","17"
"608","Bartow County","0106-Pine Log Elementary","Total","40","*","*","*","*","346","*"
"608","Bartow County","0107-Euharlee Elementary School","Female","22","*","*","15","*","233","*"
"608","Bartow County","0107-Euharlee Elementary School","Male","22","*","*","*","*","214","18"
"608","Bartow County","0107-Euharlee Elementary School","Total","44","*","*","*","*","447","*"
"608","Bartow County","0114-Cass High School","Female","153","*","*","129","*","403","46"
"608","Bartow County","0114-Cass High School","Male","171","*","19","131","*","418","29"
"608","Bartow County","0114-Cass High School","Total","324","*","*","260","*","821","75"
"608","Bartow County","0115-Cloverleaf Elementary","Female","72","*","*","62","*","178","25"
"608","Bartow County","0115-Cloverleaf Elementary","Male","58","*","*","59","*","194","16"
"608","Bartow County","0115-Cloverleaf Elementary","Total","130","*","*","121","*","372","41"
"608","Bartow County","0175-White Elementary School","Female","47","*","*","43","*","173","29"
"608","Bartow County","0175-White Elementary School","Male","35","*","*","48","*","197","16"
"608","Bartow County","0175-White Elementary School","Total","82","*","*","91","*","370","45"
"608","Bartow County","0177-Adairsville Elementary School","Female","43","*","*","28","*","318","34"
"608","Bartow County","0177-Adairsville Elementary School","Male","46","*","*","28","*","358","31"
"608","Bartow County","0177-Adairsville Elementary School","Total","89","*","*","56","*","676","65"
"608","Bartow County","0186-Mission Road Elementary School","Female","36","*","*","22","*","145","15"
"608","Bartow County","0186-Mission Road Elementary School","Male","37","*","*","22","*","139","15"
"608","Bartow County","0186-Mission Road Elementary School","Total","73","*","*","44","*","284","30"
"608","Bartow County","0190-Red Top Middle School","Female","89","*","*","38","*","121","*"
"608","Bartow County","0190-Red Top Middle School","Male","89","*","*","34","*","164","16"
"608","Bartow County","0190-Red Top Middle School","Total","178","*","*","72","*","285","*"
"608","Bartow County","0195-Cass Middle School","Female","90","*","*","61","*","217","35"
"608","Bartow County","0195-Cass Middle School","Male","112","*","*","67","*","256","29"
"608","Bartow County","0195-Cass Middle School","Total","202","*","*","128","*","473","64"
"608","Bartow County","0196-Allatoona Elementary School","Female","81","*","*","*","*","87","18"
"608","Bartow County","0196-Allatoona Elementary School","Male","91","*","*","16","*","105","*"
"608","Bartow County","0196-Allatoona Elementary School","Total","172","*","*","*","*","192","*"
"608","Bartow County","0198-Woodland High School","Female","127","*","*","53","*","469","23"
"608","Bartow County","0198-Woodland High School","Male","133","*","*","43","*","500","35"
"608","Bartow County","0198-Woodland High School","Total","260","*","*","96","*","969","58"
"608","Bartow County","0296-Kingston Elementary School","Female","70","*","*","50","*","135","17"
"608","Bartow County","0296-Kingston Elementary School","Male","65","*","*","48","*","160","*"
"608","Bartow County","0296-Kingston Elementary School","Total","135","*","*","98","*","295","*"
"608","Bartow County","0301-Adairsville Middle School","Female","36","*","*","19","*","338","19"
"608","Bartow County","0301-Adairsville Middle School","Male","36","*","*","25","*","339","18"
"608","Bartow County","0301-Adairsville Middle School","Total","72","*","*","44","*","677","37"
"608","Bartow County","0377-Hamilton Crossing Elementary School","Female","72","*","*","29","*","158","*"
"608","Bartow County","0377-Hamilton Crossing Elementary School","Male","75","*","*","31","*","180","24"
"608","Bartow County","0377-Hamilton Crossing Elementary School","Total","147","*","*","60","*","338","*"
"608","Bartow County","0396-Taylorsville Elementary School","Female","33","*","*","*","*","230","*"
"608","Bartow County","0396-Taylorsville Elementary School","Male","36","*","*","18","*","224","*"
"608","Bartow County","0396-Taylorsville Elementary School","Total","69","*","*","*","*","454","*"
"608","Bartow County","2052-Emerson Elementary School","Female","32","*","*","*","*","142","*"
"608","Bartow County","2052-Emerson Elementary School","Male","52","*","*","*","*","124","*"
"608","Bartow County","2052-Emerson Elementary School","Total","84","*","*","*","*","266","*"
"609","Ben Hill County","0111-Ben Hill Elementary School","Female","27","*","*","122","*","101","*"
"609","Ben Hill County","0111-Ben Hill Elementary School","Male","28","*","*","120","*","126","*"
"609","Ben Hill County","0111-Ben Hill Elementary School","Total","55","*","*","242","*","227","*"
"609","Ben Hill County","0196-Ben Hill County Primary School","Female","45","*","*","207","*","194","24"
"609","Ben Hill County","0196-Ben Hill County Primary School","Male","51","*","*","186","*","172","24"
"609","Ben Hill County","0196-Ben Hill County Primary School","Total","96","*","*","393","*","366","48"
"609","Ben Hill County","0291-Fitzgerald High School School College and Career Academy","Female","68","*","*","188","*","143","15"
"609","Ben Hill County","0291-Fitzgerald High School School College and Career Academy","Male","62","*","*","175","*","169","*"
"609","Ben Hill County","0291-Fitzgerald High School School College and Career Academy","Total","130","*","*","363","*","312","*"
"609","Ben Hill County","0296-Ben Hill County Middle School","Female","41","*","*","124","*","139","*"
"609","Ben Hill County","0296-Ben Hill County Middle School","Male","40","*","*","161","*","158","*"
"609","Ben Hill County","0296-Ben Hill County Middle School","Total","81","*","*","285","*","297","*"
"609","Ben Hill County","0392-Hurricane Transition Academy","Female","*","*","*","*","*","15","*"
"609","Ben Hill County","0392-Hurricane Transition Academy","Male","*","*","*","*","*","*","*"
"609","Ben Hill County","0392-Hurricane Transition Academy","Total","*","*","*","*","*","*","*"
"610","Berrien County","0101-Berrien High School","Female","43","*","*","60","*","280","*"
"610","Berrien County","0101-Berrien High School","Male","45","*","*","58","*","299","16"
"610","Berrien County","0101-Berrien High School","Total","88","*","*","118","*","579","*"
"610","Berrien County","0106-Berrien Academy Performance Learning Center","Female","*","*","*","*","*","34","*"
"610","Berrien County","0106-Berrien Academy Performance Learning Center","Male","*","*","*","*","*","30","*"
"610","Berrien County","0106-Berrien Academy Performance Learning Center","Total","*","*","*","*","*","64","*"
"610","Berrien County","0194-Berrien Middle School","Female","24","*","*","42","*","229","15"
"610","Berrien County","0194-Berrien Middle School","Male","34","*","*","40","*","262","24"
"610","Berrien County","0194-Berrien Middle School","Total","58","*","*","82","*","491","39"
"610","Berrien County","0195-Berrien Elementary School","Female","33","*","*","45","*","250","22"
"610","Berrien County","0195-Berrien Elementary School","Male","28","*","*","40","*","219","18"
"610","Berrien County","0195-Berrien Elementary School","Total","61","*","*","85","*","469","40"
"610","Berrien County","5050-Berrien Primary School","Female","30","*","*","39","*","285","30"
"610","Berrien County","5050-Berrien Primary School","Male","48","*","*","50","*","308","36"
"610","Berrien County","5050-Berrien Primary School","Total","78","*","*","89","*","593","66"
"611","Bibb County","0103-Skyview Elementary School","Female","17","*","*","80","*","97","18"
"611","Bibb County","0103-Skyview Elementary School","Male","15","*","*","106","*","105","*"
"611","Bibb County","0103-Skyview Elementary School","Total","32","*","*","186","*","202","*"
"611","Bibb County","0104-Burdell Elementary School","Female","*","*","*","191","*","*","*"
"611","Bibb County","0104-Burdell Elementary School","Male","*","*","*","204","*","*","*"
"611","Bibb County","0104-Burdell Elementary School","Total","*","*","*","395","*","*","*"
"611","Bibb County","0105-Howard High School","Female","35","*","15","384","*","52","21"
"611","Bibb County","0105-Howard High School","Male","36","*","27","356","*","96","23"
"611","Bibb County","0105-Howard High School","Total","71","*","42","740","*","148","44"
"611","Bibb County","0108-Ballard Hudson Middle School","Female","21","*","*","313","*","*","*"
"611","Bibb County","0108-Ballard Hudson Middle School","Male","*","*","*","341","*","*","*"
"611","Bibb County","0108-Ballard Hudson Middle School","Total","*","*","*","654","*","*","*"
"611","Bibb County","0109-Bruce Elementary School","Female","*","*","*","184","*","*","*"
"611","Bibb County","0109-Bruce Elementary School","Male","*","*","*","200","*","*","*"
"611","Bibb County","0109-Bruce Elementary School","Total","*","*","*","384","*","*","*"
"611","Bibb County","0186-Central High School","Female","20","*","*","397","*","24","*"
"611","Bibb County","0186-Central High School","Male","19","*","*","307","*","21","*"
"611","Bibb County","0186-Central High School","Total","39","*","*","704","*","45","*"
"611","Bibb County","0198-Westside High School","Female","40","*","*","426","*","18","*"
"611","Bibb County","0198-Westside High School","Male","41","*","*","396","*","22","17"
"611","Bibb County","0198-Westside High School","Total","81","*","*","822","*","40","*"
"611","Bibb County","0203-Vineville Academy","Female","15","*","*","207","*","48","*"
"611","Bibb County","0203-Vineville Academy","Male","*","*","*","152","*","25","*"
"611","Bibb County","0203-Vineville Academy","Total","*","*","*","359","*","73","*"
"611","Bibb County","0204-Rutland High School","Female","86","*","*","204","*","107","15"
"611","Bibb County","0204-Rutland High School","Male","70","*","*","241","*","133","17"
"611","Bibb County","0204-Rutland High School","Total","156","*","*","445","*","240","32"
"611","Bibb County","0205-Howard Middle School","Female","31","*","*","349","*","55","25"
"611","Bibb County","0205-Howard Middle School","Male","29","*","28","388","*","71","25"
"611","Bibb County","0205-Howard Middle School","Total","60","*","*","737","*","126","50"
"611","Bibb County","0286-Northeast High School","Female","*","*","*","323","*","*","*"
"611","Bibb County","0286-Northeast High School","Male","*","*","*","360","*","*","*"
"611","Bibb County","0286-Northeast High School","Total","*","*","*","683","*","*","*"
"611","Bibb County","0298-Miller Magnet Middle School","Female","*","*","*","257","*","20","*"
"611","Bibb County","0298-Miller Magnet Middle School","Male","*","*","*","252","*","17","*"
"611","Bibb County","0298-Miller Magnet Middle School","Total","*","*","*","509","*","37","*"
"611","Bibb County","0305-Rutland Middle School","Female","66","*","*","242","*","96","16"
"611","Bibb County","0305-Rutland Middle School","Male","70","*","*","221","*","99","*"
"611","Bibb County","0305-Rutland Middle School","Total","136","*","*","463","*","195","*"
"611","Bibb County","0307-Price Academy","Female","*","*","*","*","*","*","*"
"611","Bibb County","0307-Price Academy","Male","*","*","*","*","*","*","*"
"611","Bibb County","0307-Price Academy","Total","*","*","*","*","*","*","*"
"611","Bibb County","0383-Williams Elementary School","Female","*","*","*","144","*","*","*"
"611","Bibb County","0383-Williams Elementary School","Male","*","*","*","169","*","*","*"
"611","Bibb County","0383-Williams Elementary School","Total","*","*","*","313","*","*","*"
"611","Bibb County","0386-Southwest High School","Female","*","*","*","329","*","*","*"
"611","Bibb County","0386-Southwest High School","Male","*","*","*","353","*","*","*"
"611","Bibb County","0386-Southwest High School","Total","*","*","*","682","*","*","*"
"611","Bibb County","0405-Rosa Taylor Elementary School","Female","17","*","*","206","*","44","*"
"611","Bibb County","0405-Rosa Taylor Elementary School","Male","28","*","*","236","*","43","*"
"611","Bibb County","0405-Rosa Taylor Elementary School","Total","45","*","*","442","*","87","*"
"611","Bibb County","0505-Weaver Middle School","Female","39","*","*","343","*","*","*"
"611","Bibb County","0505-Weaver Middle School","Male","38","*","*","414","*","25","*"
"611","Bibb County","0505-Weaver Middle School","Total","77","*","*","757","*","*","*"
"611","Bibb County","0605-Heritage Elementary School","Female","*","*","*","170","*","38","19"
"611","Bibb County","0605-Heritage Elementary School","Male","15","*","*","212","*","60","18"
"611","Bibb County","0605-Heritage Elementary School","Total","*","*","*","382","*","98","37"
"611","Bibb County","0705-Union Elementary School","Female","*","*","*","234","*","*","*"
"611","Bibb County","0705-Union Elementary School","Male","*","*","*","226","*","*","*"
"611","Bibb County","0705-Union Elementary School","Total","*","*","*","460","*","*","*"
"611","Bibb County","1050-Alexander II Magnet School","Female","*","*","*","184","*","26","16"
"611","Bibb County","1050-Alexander II Magnet School","Male","*","*","*","193","*","33","*"
"611","Bibb County","1050-Alexander II Magnet School","Total","*","*","*","377","*","59","*"
"611","Bibb County","1054-Bernd Elementary School","Female","*","*","*","168","*","16","*"
"611","Bibb County","1054-Bernd Elementary School","Male","*","*","*","186","*","17","*"
"611","Bibb County","1054-Bernd Elementary School","Total","*","*","*","354","*","33","*"
"611","Bibb County","1067-Porter Elementary School","Female","83","*","*","68","*","32","*"
"611","Bibb County","1067-Porter Elementary School","Male","75","*","*","78","*","49","*"
"611","Bibb County","1067-Porter Elementary School","Total","158","*","*","146","*","81","*"
"611","Bibb County","1105-Springdale Elementary School","Female","20","*","25","132","*","71","*"
"611","Bibb County","1105-Springdale Elementary School","Male","19","*","24","148","*","113","*"
"611","Bibb County","1105-Springdale Elementary School","Total","39","*","49","280","*","184","*"
"611","Bibb County","1205-Carter Elementary School","Female","*","*","16","161","*","39","*"
"611","Bibb County","1205-Carter Elementary School","Male","24","*","19","144","*","34","15"
"611","Bibb County","1205-Carter Elementary School","Total","*","*","35","305","*","73","*"
"611","Bibb County","1305-Lane Elementary School","Female","18","*","*","182","*","17","*"
"611","Bibb County","1305-Lane Elementary School","Male","16","*","*","184","*","*","*"
"611","Bibb County","1305-Lane Elementary School","Total","34","*","*","366","*","*","*"
"611","Bibb County","1306-Martin Luther King Jr Elementary School","Female","*","*","*","259","*","*","*"
"611","Bibb County","1306-Martin Luther King Jr Elementary School","Male","*","*","*","322","*","15","*"
"611","Bibb County","1306-Martin Luther King Jr Elementary School","Total","*","*","*","581","*","*","*"
"611","Bibb County","1307-Southfield Elementary School","Female","55","*","*","299","*","*","*"
"611","Bibb County","1307-Southfield Elementary School","Male","39","*","*","294","*","*","*"
"611","Bibb County","1307-Southfield Elementary School","Total","94","*","*","593","*","*","*"
"611","Bibb County","1309-Veterans Elementary School","Female","48","*","*","266","*","*","*"
"611","Bibb County","1309-Veterans Elementary School","Male","60","*","*","302","*","15","*"
"611","Bibb County","1309-Veterans Elementary School","Total","108","*","*","568","*","*","*"
"611","Bibb County","1310-John Robert Lewis Elementary School","Female","*","*","*","338","*","*","*"
"611","Bibb County","1310-John Robert Lewis Elementary School","Male","*","*","*","366","*","*","*"
"611","Bibb County","1310-John Robert Lewis Elementary School","Total","*","*","*","704","*","*","*"
"611","Bibb County","1311-VIP Academy (Virtual)","Female","17","*","*","204","*","45","*"
"611","Bibb County","1311-VIP Academy (Virtual)","Male","*","*","*","149","*","36","*"
"611","Bibb County","1311-VIP Academy (Virtual)","Total","*","*","*","353","*","81","*"
"611","Bibb County","2060-Hartley Elementary School","Female","*","*","*","183","*","*","*"
"611","Bibb County","2060-Hartley Elementary School","Male","*","*","*","232","*","*","*"
"611","Bibb County","2060-Hartley Elementary School","Total","*","*","*","415","*","*","*"
"611","Bibb County","3060-Heard Elementary School","Female","23","*","*","101","*","101","24"
"611","Bibb County","3060-Heard Elementary School","Male","30","*","*","138","*","100","17"
"611","Bibb County","3060-Heard Elementary School","Total","53","*","*","239","*","201","41"
"611","Bibb County","3067-Ingram/Pye Elementary School","Female","*","*","*","237","*","*","*"
"611","Bibb County","3067-Ingram/Pye Elementary School","Male","*","*","*","226","*","*","*"
"611","Bibb County","3067-Ingram/Pye Elementary School","Total","*","*","*","463","*","*","*"
"611","Bibb County","5050-Appling Middle School","Female","*","*","*","289","*","*","*"
"611","Bibb County","5050-Appling Middle School","Male","*","*","*","305","*","*","*"
"611","Bibb County","5050-Appling Middle School","Total","*","*","*","594","*","*","*"
"612","Bleckley County","0105-Bleckley County High School","Female","*","*","*","70","*","232","*"
"612","Bleckley County","0105-Bleckley County High School","Male","*","*","*","88","*","219","*"
"612","Bleckley County","0105-Bleckley County High School","Total","*","*","*","158","*","451","*"
"612","Bleckley County","0112-Bleckley Middle School","Female","*","*","*","50","*","191","*"
"612","Bleckley County","0112-Bleckley Middle School","Male","*","*","*","71","*","200","*"
"612","Bleckley County","0112-Bleckley Middle School","Total","*","*","*","121","*","391","*"
"612","Bleckley County","0115-Bleckley County Success Academy","Female","*","*","*","16","*","*","*"
"612","Bleckley County","0115-Bleckley County Success Academy","Male","*","*","*","25","*","20","*"
"612","Bleckley County","0115-Bleckley County Success Academy","Total","*","*","*","41","*","*","*"
"612","Bleckley County","0197-Bleckley County Elementary School","Female","*","*","*","69","*","193","*"
"612","Bleckley County","0197-Bleckley County Elementary School","Male","*","*","*","74","*","183","*"
"612","Bleckley County","0197-Bleckley County Elementary School","Total","*","*","*","143","*","376","*"
"612","Bleckley County","1050-Bleckley County Primary School","Female","*","*","*","70","*","267","25"
"612","Bleckley County","1050-Bleckley County Primary School","Male","*","*","*","101","*","274","16"
"612","Bleckley County","1050-Bleckley County Primary School","Total","*","*","*","171","*","541","41"
"613","Brantley County","0101-Waynesville Primary School","Female","*","*","*","*","*","205","*"
"613","Brantley County","0101-Waynesville Primary School","Male","*","*","*","*","*","203","*"
"613","Brantley County","0101-Waynesville Primary School","Total","*","*","*","*","*","408","*"
"613","Brantley County","0110-Atkinson Elementary School","Female","*","*","*","*","*","125","*"
"613","Brantley County","0110-Atkinson Elementary School","Male","*","*","*","*","*","107","*"
"613","Brantley County","0110-Atkinson Elementary School","Total","*","*","*","*","*","232","*"
"613","Brantley County","0194-Brantley County Middle School","Female","*","*","*","*","*","217","*"
