SchoolYear,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,LOCALE_NAME,MISTEM_NAME,MISTEM_CODE,TOTAL_ENROLLMENT,MALE_ENROLLMENT,FEMALE_ENROLLMENT,AMERICAN_INDIAN_ENROLLMENT,ASIAN_ENROLLMENT,AFRICAN_AMERICAN_ENROLLMENT,HISPANIC_ENROLLMENT,HAWAIIAN_ENROLLMENT,WHITE_ENROLLMENT,TWO_OR_MORE_RACES_ENROLLMENT,EARLY_MIDDLE_COLLEGE_ENROLLMENT,KINDERGARTEN_ENROLLMENT,GRADE_1_ENROLLMENT,GRADE_2_ENROLLMENT,GRADE_3_ENROLLMENT,GRADE_4_ENROLLMENT,GRADE_5_ENROLLMENT,GRADE_6_ENROLLMENT,GRADE_7_ENROLLMENT,GRADE_8_ENROLLMENT,GRADE_9_ENROLLMENT,GRADE_10_ENROLLMENT,GRADE_11_ENROLLMENT,GRADE_12_ENROLLMENT,ECONOMIC_DISADVANTAGED_ENROLLMENT,SPECIAL_EDUCATION_ENROLLMENT,ENGLISH_LANGUAGE_LEARNERS_ENROLLMENT
"20 - 21 School Year","82","Wayne RESA","82996","Clara B. Ford Academy (SDA)","09787","Clara B. Ford Academy (SDA)","82","Wayne","PSA School","Elem thru High School","Suburb: Large","Wayne Region","         3","92","0","92","0","0","48","5","0","32","7","0","0","0","0","0","0","0","0","7","14","16","22","22","11","92","37","<10"
"20 - 21 School Year","82","Wayne RESA","82919","Commonwealth Community Development Academy","08656","Commonwealth Community Development Academy","82","Wayne","PSA School","Elem_Middle School","City: Large","Wayne Region","         3","164","80","84","0","0","164","0","0","0","0","0","13","20","23","18","24","15","19","20","12","0","0","0","0","149","14","<10"
"20 - 21 School Year","82","Wayne RESA","82741","Cornerstone Health and Technology School","01214","Cornerstone Health and Technology School","82","Wayne","PSA School","High School","City: Large","Wayne Region","         3","414","199","215","3","0","409","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","126","150","138","414","60","<10"
"20 - 21 School Year","82","Wayne RESA","82760","Cornerstone Jefferson-Douglass Academy","02782","Cornerstone Jefferson-Douglass Academy","82","Wayne","PSA School","Elem_Middle School","City: Large","Wayne Region","         3","591","280","311","3","1","584","2","0","1","0","0","54","79","86","66","63","90","50","52","51","0","0","0","0","571","49","<10"
"20 - 21 School Year","82","Wayne RESA","82991","Covenant House Academy Detroit","09649","Covenant House Academy Detroit - Central Site","82","Wayne","PSA School","High School","City: Large","Wayne Region","         3","172","96","76","0","0","169","0","0","3","0","0","0","0","0","0","0","0","0","0","0","67","35","41","29","152","33","<10"
"20 - 21 School Year","82","Wayne RESA","82991","Covenant House Academy Detroit","09621","Covenant House Academy Detroit - East Site","82","Wayne","PSA School","High School","City: Large","Wayne Region","         3","168","81","87","1","0","163","1","0","3","0","0","0","0","0","0","0","0","0","0","0","42","47","34","45","157","23","<10"
"20 - 21 School Year","82","Wayne RESA","82991","Covenant House Academy Detroit","09624","Covenant House Academy Detroit - Southwest Site","82","Wayne","PSA School","High School","City: Large","Wayne Region","         3","197","102","95","3","0","115","65","0","11","3","0","0","0","0","0","0","0","0","0","0","87","52","30","28","180","38","19"
"20 - 21 School Year","82","Wayne RESA","82969","Creative Montessori Academy","08853","Creative Montessori Academy","82","Wayne","PSA School","Elem_Middle School","Suburb: Large","Wayne Region","         3","818","408","410","1","25","231","154","0","362","45","0","128","120","94","109","91","74","83","68","51","0","0","0","0","451","104","89"
"20 - 21 School Year","82","Wayne RESA","82230","Crestwood School District","00042","Crestwood Accelerated Program","82","Wayne","LEA School","Elementary","Suburb: Large","Wayne Region","         3","71","30","41","0","2","0","1","0","68","0","0","0","0","19","26","26","0","0","0","0","0","0","0","0","45","<10","<10"
"20 - 21 School Year","82","Wayne RESA","82230","Crestwood School District","00833","Crestwood High School","82","Wayne","LEA School","High School","Suburb: Large","Wayne Region","         3","1388","741","647","2","4","81","33","0","1258","10","0","0","0","0","0","0","0","0","0","0","321","340","360","367","972","104","307"
"20 - 21 School Year","82","Wayne RESA","82230","Crestwood School District","01669","Highview Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","Wayne Region","         3","444","245","199","2","2","33","7","0","394","6","0","101","80","87","84","92","0","0","0","0","0","0","0","0","369","47","168"
"20 - 21 School Year","82","Wayne RESA","82230","Crestwood School District","01680","Hillcrest Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","Wayne Region","         3","339","183","156","0","4","28","7","0","294","6","0","59","58","83","80","59","0","0","0","0","0","0","0","0","269","37","122"
"20 - 21 School Year","82","Wayne RESA","82230","Crestwood School District","02046","Kinloch Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","Wayne Region","         3","527","287","240","1","6","6","7","0","507","0","0","134","101","88","90","114","0","0","0","0","0","0","0","0","353","38","77"
"20 - 21 School Year","82","Wayne RESA","82230","Crestwood School District","03216","Riverside Middle School","82","Wayne","LEA School","Elem_Middle School","Suburb: Large","Wayne Region","         3","1186","614","572","0","6","62","25","0","1085","8","0","0","0","0","0","0","301","267","303","315","0","0","0","0","878","89","244"
"20 - 21 School Year","82","Wayne RESA","82947","David Ellis Academy","08670","David Ellis Academy","82","Wayne","PSA School","Elem_Middle School","City: Large","Wayne Region","         3","223","102","121","0","0","223","0","0","0","0","0","11","22","27","31","33","31","22","21","25","0","0","0","0","186","17","<10"
"20 - 21 School Year","82","Wayne RESA","82994","David Ellis Academy West","09710","David Ellis Academy West","82","Wayne","PSA School","Elem_Middle School","Suburb: Large","Wayne Region","         3","658","336","322","0","0","649","5","0","3","1","0","60","72","72","75","69","67","93","78","72","0","0","0","0","507","50","<10"
"20 - 21 School Year","82","Wayne RESA","82030","Dearborn City School District","00432","Bryant Middle School","82","Wayne","LEA School","Middle School","City: Small","Wayne Region","         3","854","425","429","2","11","21","23","0","796","1","0","0","0","0","0","0","0","267","270","317","0","0","0","0","433","52","183"
"20 - 21 School Year","82","Wayne RESA","82030","Dearborn City School District","00639","Charles A. Lindbergh Elementary School","82","Wayne","LEA School","Elementary","City: Small","Wayne Region","         3","306","150","156","1","8","7","11","0","277","2","0","51","48","55","51","57","44","0","0","0","0","0","0","0","96","22","51"
"20 - 21 School Year","82","Wayne RESA","82030","Dearborn City School District","00886","Dearborn High School","82","Wayne","LEA School","High School","City: Small","Wayne Region","         3","2025","1073","952","2","21","52","32","2","1915","1","95","0","0","0","0","0","0","0","0","0","559","512","448","506","1191","119","602"
"20 - 21 School Year","82","Wayne RESA","82030","Dearborn City School District","00086","Dearborn Magnet High School","82","Wayne","LEA School","High School","Suburb: Large","Wayne Region","         3","21","15","6","1","0","2","1","0","17","0","0","0","0","0","0","0","0","0","0","0","0","5","12","4","15","<10","<10"
"20 - 21 School Year","82","Wayne RESA","82030","Dearborn City School District","03745","Dearborn Newcomer College Prep Academy","82","Wayne","LEA School","High School","Not Specified","Wayne Region","         3","4","2","2","0","0","1","0","0","3","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","2","<10","<10"
"20 - 21 School Year","82","Wayne RESA","82030","Dearborn City School District","02425","Dearborn STEM Middle School","82","Wayne","LEA School","Middle School","Suburb: Large","Wayne Region","         3","171","108","63","0","2","2","0","0","166","1","0","0","0","0","0","0","0","59","59","53","0","0","0","0","66","<10","<10"
"20 - 21 School Year","82","Wayne RESA","82030","Dearborn City School District","00977","Duvall Elementary School","82","Wayne","LEA School","Elementary","City: Small","Wayne Region","         3","228","110","118","0","9","11","13","0","194","1","0","32","41","38","39","47","31","0","0","0","0","0","0","0","81","18","54"
"20 - 21 School Year","82","Wayne RESA","82030","Dearborn City School District","01092","Edsel Ford High School","82","Wayne","LEA School","High School","City: Small","Wayne Region","         3","1583","862","721","3","22","94","48","2","1404","10","48","0","0","0","0","0","0","0","0","0","515","384","339","345","976","121","566"
"20 - 21 School Year","82","Wayne RESA","82030","Dearborn City School District","01261","Fordson High School","82","Wayne","LEA School","High School","City: Small","Wayne Region","         3","2595","1397","1198","0","10","36","18","0","2528","3","70","0","0","0","0","0","0","0","0","0","778","645","566","606","2080","132","1197"
"20 - 21 School Year","82","Wayne RESA","82030","Dearborn City School District","09529","Geer Park Elementary School","82","Wayne","LEA School","Elementary","City: Small","Wayne Region","         3","414","193","221","0","13","28","5","0","366","2","0","74","66","73","69","62","70","0","0","0","0","0","0","0","275","36","249"
"20 - 21 School Year","82","Wayne RESA","82030","Dearborn City School District","01637","Haigh Elementary School","82","Wayne","LEA School","Elementary","City: Small","Wayne Region","         3","518","275","243","0","4","11","13","0","490","0","0","75","89","83","92","89","90","0","0","0","0","0","0","0","236","35","163"
"20 - 21 School Year","82","Wayne RESA","82030","Dearborn City School District","09775","Henry Ford Early College","82","Wayne","LEA School","High School","City: Small","Wayne Region","         3","237","79","158","0","15","11","8","0","202","1","236","0","0","0","0","0","0","0","0","0","50","50","48","89","127","<10","25"
"20 - 21 School Year","82","Wayne RESA","82030","Dearborn City School District","02712","Henry Ford Early College-Advanced Manufacturing","82","Wayne","LEA School","High School","City: Small","Wayne Region","         3","305","163","142","0","6","7","5","0","286","1","305","0","0","0","0","0","0","0","0","0","95","92","52","66","194","<10","56"
"20 - 21 School Year","82","Wayne RESA","82030","Dearborn City School District","01635","Henry Ford Elementary School","82","Wayne","LEA School","Elementary","City: Small","Wayne Region","         3","753","416","337","4","14","6","2","0","727","0","0","129","115","101","124","133","151","0","0","0","0","0","0","0","634","61","550"
"20 - 21 School Year","82","Wayne RESA","82030","Dearborn City School District","01974","Howard Elementary School","82","Wayne","LEA School","Elementary","City: Small","Wayne Region","         3","430","227","203","0","6","3","5","1","414","1","0","61","75","78","74","73","69","0","0","0","0","0","0","0","157","23","120"
"20 - 21 School Year","82","Wayne RESA","82030","Dearborn City School District","06384","Howe Trainable Center and Montessori","82","Wayne","LEA School","Elem thru High School","Suburb: Large","Wayne Region","         3","282","164","118","0","11","8","6","0","255","2","0","25","20","26","23","30","23","4","7","0","23","12","11","16","155","154","106"
"20 - 21 School Year","82","Wayne RESA","82030","Dearborn City School District","07818","Iris Becker Elementary School","82","Wayne","LEA School","Elementary","City: Small","Wayne Region","         3","226","109","117","0","2","0","3","0","221","0","0","31","28","36","35","44","52","0","0","0","0","0","0","0","198","15","142"
"20 - 21 School Year","82","Wayne RESA","82030","Dearborn City School District","05396","Long Elementary School","82","Wayne","LEA School","Elementary","City: Small","Wayne Region","         3","223","123","100","0","3","18","12","1","181","8","0","45","23","39","36","41","39","0","0","0","0","0","0","0","132","33","50"
"20 - 21 School Year","82","Wayne RESA","82030","Dearborn City School District","04837","Lowrey Elementary School","82","Wayne","LEA School","Elementary","City: Small","Wayne Region","         3","569","296","273","0","2","1","3","0","563","0","0","64","99","90","95","114","107","0","0","0","0","0","0","0","480","36","393"
"20 - 21 School Year","82","Wayne RESA","82030","Dearborn City School District","05850","Lowrey Middle School","82","Wayne","LEA School","Middle School","City: Small","Wayne Region","         3","550","278","272","0","4","4","3","0","539","0","0","0","0","0","0","0","0","177","181","192","0","0","0","0","464","21","257"
"20 - 21 School Year","82","Wayne RESA","82030","Dearborn City School District","02356","Maples Elementary School","82","Wayne","LEA School","Elementary","City: Small","Wayne Region","         3","579","289","290","1","2","2","0","0","574","0","0","107","95","89","93","96","99","0","0","0","0","0","0","0","505","51","429"
"20 - 21 School Year","82","Wayne RESA","82030","Dearborn City School District","09400","McCollough Elementary School","82","Wayne","LEA School","Elementary","City: Small","Wayne Region","         3","480","245","235","0","2","7","3","0","468","0","0","79","82","69","60","88","102","0","0","0","0","0","0","0","390","37","316"
"20 - 21 School Year","82","Wayne RESA","82030","Dearborn City School District","02460","McDonald Elementary School","82","Wayne","LEA School","Elementary","City: Small","Wayne Region","         3","341","180","161","0","7","0","3","0","331","0","0","53","66","49","54","55","64","0","0","0","0","0","0","0","287","37","264"
"20 - 21 School Year","82","Wayne RESA","82030","Dearborn City School District","02567","Miller Elementary School","82","Wayne","LEA School","Elementary","City: Small","Wayne Region","         3","643","326","317","0","5","2","0","0","635","1","0","89","112","105","101","116","120","0","0","0","0","0","0","0","542","62","495"
"20 - 21 School Year","82","Wayne RESA","82030","Dearborn City School District","04541","Nowlin Elementary School","82","Wayne","LEA School","Elementary","City: Small","Wayne Region","         3","221","121","100","0","2","9","22","1","185","2","0","41","41","33","28","45","33","0","0","0","0","0","0","0","147","61","83"
"20 - 21 School Year","82","Wayne RESA","82030","Dearborn City School District","02813","Oakman Elementary School","82","Wayne","LEA School","Elementary","City: Small","Wayne Region","         3","248","135","113","0","1","2","0","0","245","0","0","54","38","41","31","53","31","0","0","0","0","0","0","0","219","19","177"
"20 - 21 School Year","82","Wayne RESA","82030","Dearborn City School District","03206","River Oaks Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","Wayne Region","         3","364","178","186","0","4","32","5","0","322","1","0","50","65","60","57","71","61","0","0","0","0","0","0","0","279","32","230"
"20 - 21 School Year","82","Wayne RESA","82030","Dearborn City School District","09251","Salina Elementary P - 3","82","Wayne","LEA School","Elementary","City: Small","Wayne Region","         3","447","234","213","0","6","2","2","0","437","0","0","121","104","118","104","0","0","0","0","0","0","0","0","0","379","33","374"
"20 - 21 School Year","82","Wayne RESA","82030","Dearborn City School District","03383","Salina Intermediate 4 - 8","82","Wayne","LEA School","Elem_Middle School","City: Small","Wayne Region","         3","518","276","242","0","5","6","3","0","504","0","0","0","0","0","0","88","91","108","112","119","0","0","0","0","426","39","348"
"20 - 21 School Year","82","Wayne RESA","82030","Dearborn City School District","02793","Smith Middle School","82","Wayne","LEA School","Middle School","City: Small","Wayne Region","         3","533","275","258","3","8","58","39","1","417","7","0","0","0","0","0","0","0","174","173","186","0","0","0","0","289","73","105"
"20 - 21 School Year","82","Wayne RESA","82030","Dearborn City School District","00954","Snow Elementary School","82","Wayne","LEA School","Elementary","City: Small","Wayne Region","         3","382","213","169","1","6","26","22","1","326","0","0","68","56","60","62","68","68","0","0","0","0","0","0","0","222","61","140"
"20 - 21 School Year","82","Wayne RESA","82030","Dearborn City School District","04088","Stout Middle School","82","Wayne","LEA School","Middle School","City: Small","Wayne Region","         3","839","435","404","2","9","25","17","0","786","0","0","0","0","0","0","0","0","272","284","283","0","0","0","0","652","77","327"
"20 - 21 School Year","82","Wayne RESA","82030","Dearborn City School District","09408","Unis Middle School","82","Wayne","LEA School","Middle School","City: Small","Wayne Region","         3","641","307","334","0","4","3","4","0","630","0","0","0","0","0","0","0","0","197","231","213","0","0","0","0","534","41","304"
"20 - 21 School Year","82","Wayne RESA","82030","Dearborn City School District","04514","Whitmore-Bolles Elementary School","82","Wayne","LEA School","Elementary","City: Small","Wayne Region","         3","276","150","126","2","7","35","14","0","216","2","0","50","49","41","55","42","39","0","0","0","0","0","0","0","164","47","62"
"20 - 21 School Year","82","Wayne RESA","82030","Dearborn City School District","04536","William Ford Elementary School","82","Wayne","LEA School","Elementary","City: Small","Wayne Region","         3","625","333","292","0","7","2","6","2","607","1","0","104","107","113","98","97","106","0","0","0","0","0","0","0","510","44","494"
"20 - 21 School Year","82","Wayne RESA","82030","Dearborn City School District","05847","Woodworth Middle School","82","Wayne","LEA School","Middle School","City: Small","Wayne Region","         3","942","484","458","0","3","9","4","1","925","0","0","0","0","0","0","0","0","286","332","324","0","0","0","0","792","89","514"
"20 - 21 School Year","82","Wayne RESA","82040","Dearborn Heights School District #7","04950","Annapolis High School","82","Wayne","LEA School","High School","Suburb: Large","Wayne Region","         3","715","367","348","5","3","180","89","1","418","19","0","0","0","0","0","0","0","0","0","0","196","197","146","176","524","82","55"
"20 - 21 School Year","82","Wayne RESA","82040","Dearborn Heights School District #7","00249","Bedford School","82","Wayne","LEA School","Elementary","Suburb: Large","Wayne Region","         3","398","189","209","5","2","114","64","0","197","16","0","66","65","68","72","51","76","0","0","0","0","0","0","0","336","65","46"
"20 - 21 School Year","82","Wayne RESA","82040","Dearborn Heights School District #7","00430","Dearborn Heights Virtual Academy","82","Wayne","LEA School","High School","Suburb: Large","Wayne Region","         3","24","9","15","0","1","3","2","0","18","0","0","0","0","0","0","0","0","0","0","0","2","5","7","10","11","<10","<10"
"20 - 21 School Year","82","Wayne RESA","82040","Dearborn Heights School District #7","02810","Oakley W. Best Middle School","82","Wayne","LEA School","Middle School","Suburb: Large","Wayne Region","         3","580","289","291","7","2","118","94","0","338","21","0","0","0","0","0","0","0","173","197","210","0","0","0","0","459","62","82"
"20 - 21 School Year","82","Wayne RESA","82040","Dearborn Heights School District #7","02943","Pardee School","82","Wayne","LEA School","Elementary","Suburb: Large","Wayne Region","         3","356","188","168","3","0","56","44","0","237","16","0","79","54","49","45","76","53","0","0","0","0","0","0","0","268","63","50"
"20 - 21 School Year","82","Wayne RESA","82040","Dearborn Heights School District #7","05357","Polk Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","Wayne Region","         3","358","183","175","5","2","37","45","0","256","13","0","80","46","53","52","63","64","0","0","0","0","0","0","0","303","32","84"
"20 - 21 School Year","82","Wayne RESA","82929","Detroit Academy of Arts and Sciences","08489","Detroit Academy of Arts and Sciences","82","Wayne","PSA School","Elementary","City: Large","Wayne Region","         3","603","306","297","0","0","599","0","0","0","4","0","60","105","88","111","118","121","0","0","0","0","0","0","0","591","39","<10"
"20 - 21 School Year","82","Wayne RESA","82929","Detroit Academy of Arts and Sciences","08945","Detroit Academy of Arts and Sciences Middle School","82","Wayne","PSA School","Middle School","City: Large","Wayne Region","         3","320","146","174","0","0","320","0","0","0","0","0","0","0","0","0","0","0","100","105","115","0","0","0","0","315","32","<10"
"20 - 21 School Year","82","Wayne RESA","82700","Detroit Achievement Academy","01968","Detroit Achievement Academy","82","Wayne","PSA School","Elem_Middle School","City: Large","Wayne Region","         3","220","106","114","0","0","209","0","1","9","1","0","35","23","25","21","21","25","26","22","22","0","0","0","0","207","29","<10"
"20 - 21 School Year","82","Wayne RESA","82700","Detroit Achievement Academy","03032","Detroit Prep","82","Wayne","PSA School","Elem_Middle School","City: Large","Wayne Region","         3","259","126","133","1","7","152","9","0","74","16","0","55","47","51","39","42","25","0","0","0","0","0","0","0","158","21","<10"
"20 - 21 School Year","82","Wayne RESA","82925","Detroit Community Schools","09619","Detroit Community Schools - Elementary","82","Wayne","PSA School","Elem_Middle School","City: Large","Wayne Region","         3","322","158","164","1","1","320","0","0","0","0","0","12","24","28","42","38","45","40","46","47","0","0","0","0","320","24","<10"
"20 - 21 School Year","82","Wayne RESA","82925","Detroit Community Schools","08456","Detroit Community Schools - High School","82","Wayne","PSA School","High School","City: Large","Wayne Region","         3","292","170","122","0","0","292","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","81","81","70","292","30","<10"
"20 - 21 School Year","82","Wayne RESA","82945","Detroit Edison Public School Academy","08651","Detroit Edison Public School Academy","82","Wayne","PSA School","Elem_Middle School","City: Large","Wayne Region","         3","874","428","446","1","0","855","7","0","4","7","0","85","94","83","97","95","96","109","122","93","0","0","0","0","628","29","<10"
"20 - 21 School Year","82","Wayne RESA","82945","Detroit Edison Public School Academy","02736","Detroit Edison Public School Academy - High School","82","Wayne","PSA School","High School","City: Large","Wayne Region","         3","411","222","189","0","0","404","2","0","2","3","0","0","0","0","0","0","0","0","0","0","120","90","110","91","245","22","<10"
"20 - 21 School Year","82","Wayne RESA","82979","Detroit Enterprise Academy","09462","Detroit Enterprise Academy","82","Wayne","PSA School","Elem_Middle School","City: Large","Wayne Region","         3","773","402","371","0","2","738","7","0","4","22","0","94","86","83","84","86","96","90","79","75","0","0","0","0","734","75","<10"
"20 - 21 School Year","82","Wayne RESA","82739","Detroit Innovation Academy","01170","Detroit Innovation Academy","82","Wayne","PSA School","Elem_Middle School","City: Large","Wayne Region","         3","345","165","180","1","0","344","0","0","0","0","0","27","34","45","38","35","45","43","44","34","0","0","0","0","308","37","<10"
"20 - 21 School Year","82","Wayne RESA","82722","Detroit Leadership Academy","02222","Detroit Leadership Academy High School","82","Wayne","PSA School","High School","City: Large","Wayne Region","         3","308","176","132","0","0","294","6","0","6","2","0","0","0","0","0","0","0","0","0","0","46","85","88","89","308","52","<10"
"20 - 21 School Year","82","Wayne RESA","82722","Detroit Leadership Academy","00334","Detroit Leadership Academy K-8","82","Wayne","PSA School","Elem_Middle School","City: Large","Wayne Region","         3","425","232","193","0","0","385","32","0","3","5","0","56","52","43","52","52","50","44","36","40","0","0","0","0","421","40","<10"
"20 - 21 School Year","82","Wayne RESA","82974","Detroit Merit Charter Academy","09102","Detroit Merit Charter Academy","82","Wayne","PSA School","Elem_Middle School","City: Large","Wayne Region","         3","746","369","377","1","0","702","15","0","4","24","0","85","101","82","82","83","85","89","77","62","0","0","0","0","677","59","<10"
"20 - 21 School Year","82","Wayne RESA","82985","Detroit Premier Academy","09600","Detroit Premier Academy","82","Wayne","PSA School","Elem_Middle School","City: Large","Wayne Region","         3","754","370","384","3","5","688","18","0","8","32","0","93","98","96","91","82","77","84","73","60","0","0","0","0","728","56","15"
"20 - 21 School Year","82","Wayne RESA","82704","Detroit Public Safety Academy","02015","Detroit Public Safety Academy","82","Wayne","PSA School","High School","City: Large","Wayne Region","         3","196","97","99","0","0","193","0","0","1","2","0","0","0","0","0","0","0","4","3","11","43","39","41","55","194","41","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00005","A.L. Holmes Academy of Blended Learning","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","414","209","205","0","1","412","0","0","1","0","0","31","43","53","48","57","43","59","40","40","0","0","0","0","376","69","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","03645","Academy of the Americas at Logan","82","Wayne","LEA School","Elementary","City: Large","Wayne Region","         3","404","193","211","0","0","23","369","0","12","0","0","103","96","107","98","0","0","0","0","0","0","0","0","0","305","36","266"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","03276","Academy of The Americas High School","82","Wayne","LEA School","Elem thru High School","City: Large","Wayne Region","         3","706","353","353","1","0","17","680","0","8","0","0","0","0","0","0","107","89","80","98","114","66","58","53","41","521","63","547"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00103","Ann Arbor Trail Magnet School","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","208","110","98","0","0","198","2","0","8","0","0","17","32","22","23","28","21","28","18","19","0","0","0","0","193","18","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00168","Bagley Elementary School of Journalism and Technology","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","354","185","169","1","0","351","1","0","0","1","0","41","55","59","52","57","44","46","0","0","0","0","0","0","311","43","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","03640","Barton Elementary School","82","Wayne","LEA School","Elementary","City: Large","Wayne Region","         3","149","76","73","0","0","144","0","0","5","0","0","16","25","26","23","30","29","0","0","0","0","0","0","0","137","<10","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","02882","Bates Academy","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","787","348","439","1","0","785","1","0","0","0","0","71","75","78","78","83","89","107","105","101","0","0","0","0","431","44","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00865","Benjamin Carson High School of Science and Medicine","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","305","125","180","1","40","224","3","5","29","3","0","0","0","0","0","0","0","0","0","0","51","86","72","96","258","27","56"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00277","Bennett Elementary School","82","Wayne","LEA School","Elementary","City: Large","Wayne Region","         3","467","238","229","2","0","32","381","0","50","2","0","67","79","81","73","91","76","0","0","0","0","0","0","0","393","30","261"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","02058","Blackwell Institute","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","351","174","177","0","0","351","0","0","0","0","0","37","46","45","42","49","32","42","29","29","0","0","0","0","304","23","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","04319","Bow Elementary-Middle School","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","497","240","257","0","0","490","4","0","2","1","0","34","43","75","48","77","56","52","41","71","0","0","0","0","457","61","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","02461","Breithaupt Career and Technical Center","82","Wayne","LEA Unique Education Provider","High School","City: Large","Wayne Region","         3","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","<10","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","09341","Brenda Scott Academy for Theatre Arts","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","726","373","353","0","1","715","2","0","5","3","0","58","83","85","93","68","86","77","82","94","0","0","0","0","657","78","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","09991","Brewer Academy","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","505","260","245","0","0","504","0","0","1","0","0","36","53","57","48","51","53","84","69","54","0","0","0","0","455","63","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00446","Bunche Preparatory Academy","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","464","231","233","11","0","408","5","0","9","31","0","40","55","45","57","60","50","48","52","57","0","0","0","0","425","95","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00456","Burns Elementary-Middle School","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","377","190","187","1","0","372","0","0","3","1","0","20","35","45","36","39","37","70","39","56","0","0","0","0","335","26","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00468","Burton International Academy","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","567","285","282","0","1","544","21","0","1","0","0","59","46","71","55","72","67","55","70","72","0","0","0","0","471","66","17"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","05553","Carleton Elementary School","82","Wayne","LEA School","Elementary","City: Large","Wayne Region","         3","387","205","182","0","0","386","0","0","1","0","0","71","71","67","60","64","54","0","0","0","0","0","0","0","362","48","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00542","Carstens Elementary-Middle School","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","283","161","122","0","0","282","1","0","0","0","0","29","33","39","27","36","29","21","38","31","0","0","0","0","259","33","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00546","Carver STEM Academy","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","379","217","162","0","0","320","32","2","25","0","0","44","41","46","39","38","45","35","45","46","0","0","0","0","352","31","24"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00554","Cass Technical High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","2465","878","1587","8","229","1896","260","5","62","5","0","0","0","0","0","0","0","0","0","0","655","701","582","527","1537","35","200"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00617","Central High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","310","179","131","1","1","303","2","0","3","0","0","0","0","0","0","0","0","0","0","0","112","66","66","66","279","66","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00859","Charles R. Drew Transition Center","82","Wayne","LEA School","Other","City: Large","Wayne Region","         3","491","316","175","0","3","460","16","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","294","491","<10"
