system,system_name,school,school_name,subgroup,exit_denom,n_exit,pct_exit,growth_standard_denom,n_met_growth_standard,pct_met_growth_standard,literacy_average,composite_average
10,Anderson County,50,Lake City Elementary,Black/Hispanic/Native American,1,*,*,0,*,*,*,*
10,Anderson County,50,Lake City Elementary,English Learners,1,*,*,0,*,*,*,*
10,Anderson County,50,Lake City Elementary,Hispanic,1,*,*,0,*,*,*,*
10,Anderson County,50,Lake City Elementary,Non-Economically Disadvantaged,1,*,*,0,*,*,*,*
10,Anderson County,50,Lake City Elementary,Non-Students with Disabilities,1,*,*,0,*,*,*,*
10,Anderson County,75,Norris Middle School,All Students,1,*,*,0,*,*,*,*
10,Anderson County,75,Norris Middle School,Black/Hispanic/Native American,1,*,*,0,*,*,*,*
10,Anderson County,75,Norris Middle School,English Learners,1,*,*,0,*,*,*,*
10,Anderson County,75,Norris Middle School,Hispanic,1,*,*,0,*,*,*,*
10,Anderson County,75,Norris Middle School,Non-Economically Disadvantaged,1,*,*,0,*,*,*,*
10,Anderson County,75,Norris Middle School,Non-Students with Disabilities,1,*,*,0,*,*,*,*
11,Clinton,5,Clinton Elementary,All Students,2,*,*,2,*,*,*,*
11,Clinton,5,Clinton Elementary,Asian,1,*,*,1,*,*,*,*
11,Clinton,5,Clinton Elementary,Black/Hispanic/Native American,1,*,*,1,*,*,*,*
11,Clinton,5,Clinton Elementary,English Learners,2,*,*,2,*,*,*,*
11,Clinton,5,Clinton Elementary,Hispanic,1,*,*,1,*,*,*,*
11,Clinton,5,Clinton Elementary,Non-Economically Disadvantaged,2,*,*,2,*,*,*,*
11,Clinton,5,Clinton Elementary,Non-Students with Disabilities,2,*,*,2,*,*,*,*
11,Clinton,10,North Clinton Elementary,All Students,2,*,*,1,*,*,*,*
11,Clinton,10,North Clinton Elementary,Asian,1,*,*,1,*,*,*,*
11,Clinton,10,North Clinton Elementary,Black or African American,1,*,*,0,*,*,*,*
11,Clinton,10,North Clinton Elementary,Black/Hispanic/Native American,1,*,*,0,*,*,*,*
11,Clinton,10,North Clinton Elementary,English Learners,2,*,*,1,*,*,*,*
11,Clinton,10,North Clinton Elementary,Non-Economically Disadvantaged,2,*,*,1,*,*,*,*
11,Clinton,10,North Clinton Elementary,Non-Students with Disabilities,2,*,*,1,*,*,*,*
12,Oak Ridge,15,Glenwood Elementary,All Students,10,1,10,6,*,*,2.9,3.3
12,Oak Ridge,15,Glenwood Elementary,Black/Hispanic/Native American,10,1,10,6,*,*,2.9,3.3
12,Oak Ridge,15,Glenwood Elementary,Economically Disadvantaged,5,*,*,5,*,*,*,*
12,Oak Ridge,15,Glenwood Elementary,English Learners,10,1,10,6,*,*,2.9,3.3
12,Oak Ridge,15,Glenwood Elementary,Hispanic,10,1,10,6,*,*,2.9,3.3
12,Oak Ridge,15,Glenwood Elementary,Non-Economically Disadvantaged,5,*,*,1,*,*,*,*
12,Oak Ridge,15,Glenwood Elementary,Non-Students with Disabilities,9,*,*,5,*,*,*,*
12,Oak Ridge,15,Glenwood Elementary,Students with Disabilities,1,*,*,1,*,*,*,*
12,Oak Ridge,25,Jefferson Middle School,All Students,12,1,8.3,9,*,*,3.2,3.2
12,Oak Ridge,25,Jefferson Middle School,Asian,2,*,*,0,*,*,*,*
12,Oak Ridge,25,Jefferson Middle School,Black/Hispanic/Native American,9,*,*,8,*,*,*,*
12,Oak Ridge,25,Jefferson Middle School,Economically Disadvantaged,4,*,*,4,*,*,*,*
12,Oak Ridge,25,Jefferson Middle School,English Learners,12,1,8.3,9,*,*,3.2,3.2
12,Oak Ridge,25,Jefferson Middle School,Hispanic,9,*,*,8,*,*,*,*
12,Oak Ridge,25,Jefferson Middle School,Non-Economically Disadvantaged,8,*,*,5,*,*,*,*
12,Oak Ridge,25,Jefferson Middle School,Non-Students with Disabilities,8,*,*,5,*,*,*,*
12,Oak Ridge,25,Jefferson Middle School,Students with Disabilities,4,*,*,4,*,*,*,*
12,Oak Ridge,30,Linden Elementary,All Students,9,*,*,5,*,*,*,*
12,Oak Ridge,30,Linden Elementary,Asian,1,*,*,0,*,*,*,*
12,Oak Ridge,30,Linden Elementary,Black/Hispanic/Native American,4,*,*,2,*,*,*,*
12,Oak Ridge,30,Linden Elementary,Economically Disadvantaged,1,*,*,0,*,*,*,*
12,Oak Ridge,30,Linden Elementary,English Learners,9,*,*,5,*,*,*,*
12,Oak Ridge,30,Linden Elementary,Hispanic,4,*,*,2,*,*,*,*
12,Oak Ridge,30,Linden Elementary,Native Hawaiian or Other Pacific Islander,2,*,*,1,*,*,*,*
12,Oak Ridge,30,Linden Elementary,Non-Economically Disadvantaged,8,*,*,5,*,*,*,*
12,Oak Ridge,30,Linden Elementary,Non-Students with Disabilities,9,*,*,5,*,*,*,*
12,Oak Ridge,30,Linden Elementary,White,1,*,*,1,*,*,*,*
12,Oak Ridge,35,Oak Ridge High School,All Students,20,2,10,17,6,35.3,3.4,3.3
12,Oak Ridge,35,Oak Ridge High School,Asian,2,*,*,0,*,*,*,*
12,Oak Ridge,35,Oak Ridge High School,Black/Hispanic/Native American,15,1,6.7,14,5,35.7,3.4,3.3
12,Oak Ridge,35,Oak Ridge High School,Economically Disadvantaged,2,*,*,2,*,*,*,*
12,Oak Ridge,35,Oak Ridge High School,English Learners,20,2,10,17,6,35.3,3.4,3.3
12,Oak Ridge,35,Oak Ridge High School,Hispanic,15,1,6.7,14,5,35.7,3.4,3.3
12,Oak Ridge,35,Oak Ridge High School,Non-Economically Disadvantaged,18,2,11.1,15,4,26.7,3.3,3.2
12,Oak Ridge,35,Oak Ridge High School,Non-Students with Disabilities,16,2,12.5,13,6,46.2,3.3,3.1
12,Oak Ridge,35,Oak Ridge High School,Students with Disabilities,4,*,*,4,*,*,*,*
12,Oak Ridge,35,Oak Ridge High School,White,1,*,*,1,*,*,*,*
12,Oak Ridge,40,Robertsville Middle School,All Students,18,3,16.7,11,4,36.4,3.1,3.1
12,Oak Ridge,40,Robertsville Middle School,Black/Hispanic/Native American,17,3,17.6,11,4,36.4,3.1,3.2
12,Oak Ridge,40,Robertsville Middle School,Economically Disadvantaged,4,*,*,3,*,*,*,*
12,Oak Ridge,40,Robertsville Middle School,English Learners,18,3,16.7,11,4,36.4,3.1,3.1
12,Oak Ridge,40,Robertsville Middle School,Hispanic,17,3,17.6,11,4,36.4,3.1,3.2
12,Oak Ridge,40,Robertsville Middle School,Non-Economically Disadvantaged,14,2,14.3,8,*,*,3.1,3.1
12,Oak Ridge,40,Robertsville Middle School,Non-Students with Disabilities,14,3,21.4,7,*,*,3,3.1
12,Oak Ridge,40,Robertsville Middle School,Students with Disabilities,4,*,*,4,*,*,*,*
12,Oak Ridge,40,Robertsville Middle School,White,1,*,*,0,*,*,*,*
12,Oak Ridge,45,Willow Brook Elementary,All Students,11,**,**,5,*,*,2.3,2.8
12,Oak Ridge,45,Willow Brook Elementary,Black/Hispanic/Native American,11,**,**,5,*,*,2.3,2.8
12,Oak Ridge,45,Willow Brook Elementary,Economically Disadvantaged,3,*,*,3,*,*,*,*
12,Oak Ridge,45,Willow Brook Elementary,English Learners,11,**,**,5,*,*,2.3,2.8
12,Oak Ridge,45,Willow Brook Elementary,Hispanic,11,**,**,5,*,*,2.3,2.8
12,Oak Ridge,45,Willow Brook Elementary,Non-Economically Disadvantaged,8,*,*,2,*,*,*,*
12,Oak Ridge,45,Willow Brook Elementary,Non-Students with Disabilities,10,**,**,4,*,*,2.3,2.8
12,Oak Ridge,45,Willow Brook Elementary,Students with Disabilities,1,*,*,1,*,*,*,*
12,Oak Ridge,50,Woodland Elementary,All Students,18,6,33.3,10,8,80,3.6,3.6
12,Oak Ridge,50,Woodland Elementary,Asian,4,*,*,2,*,*,*,*
12,Oak Ridge,50,Woodland Elementary,Black or African American,1,*,*,0,*,*,*,*
12,Oak Ridge,50,Woodland Elementary,Black/Hispanic/Native American,10,5,50,7,*,*,3.9,4.1
12,Oak Ridge,50,Woodland Elementary,Economically Disadvantaged,5,*,*,4,*,*,*,*
12,Oak Ridge,50,Woodland Elementary,English Learners,18,6,33.3,10,8,80,3.6,3.6
12,Oak Ridge,50,Woodland Elementary,Hispanic,9,*,*,7,*,*,*,*
12,Oak Ridge,50,Woodland Elementary,Non-Economically Disadvantaged,13,4,30.8,6,*,*,3.5,3.4
12,Oak Ridge,50,Woodland Elementary,Non-Students with Disabilities,18,6,33.3,10,8,80,3.6,3.6
12,Oak Ridge,50,Woodland Elementary,White,3,*,*,1,*,*,*,*
20,Bedford County,12,Cascade Elementary,All Students,9,*,*,8,*,*,*,*
20,Bedford County,12,Cascade Elementary,Black/Hispanic/Native American,9,*,*,8,*,*,*,*
20,Bedford County,12,Cascade Elementary,English Learners,9,*,*,8,*,*,*,*
20,Bedford County,12,Cascade Elementary,Hispanic,9,*,*,8,*,*,*,*
20,Bedford County,12,Cascade Elementary,Non-Economically Disadvantaged,9,*,*,8,*,*,*,*
20,Bedford County,12,Cascade Elementary,Non-Students with Disabilities,7,*,*,7,*,*,*,*
20,Bedford County,12,Cascade Elementary,Students with Disabilities,2,*,*,1,*,*,*,*
20,Bedford County,13,Cascade High School,All Students,3,*,*,1,*,*,*,*
20,Bedford County,13,Cascade High School,Black/Hispanic/Native American,3,*,*,1,*,*,*,*
20,Bedford County,13,Cascade High School,English Learners,3,*,*,1,*,*,*,*
20,Bedford County,13,Cascade High School,Hispanic,3,*,*,1,*,*,*,*
20,Bedford County,13,Cascade High School,Non-Economically Disadvantaged,3,*,*,1,*,*,*,*
20,Bedford County,13,Cascade High School,Non-Students with Disabilities,3,*,*,1,*,*,*,*
20,Bedford County,15,Eakin Elementary,All Students,151,13,8.6,114,49,43,2.9,3
20,Bedford County,15,Eakin Elementary,Asian,1,*,*,0,*,*,*,*
20,Bedford County,15,Eakin Elementary,Black or African American,4,*,*,3,*,*,*,*
20,Bedford County,15,Eakin Elementary,Black/Hispanic/Native American,141,12,8.5,106,46,43.4,2.9,3.1
20,Bedford County,15,Eakin Elementary,Economically Disadvantaged,50,4,8,47,22,46.8,3.3,3.3
20,Bedford County,15,Eakin Elementary,English Learners,151,13,8.6,114,49,43,2.9,3
20,Bedford County,15,Eakin Elementary,Hispanic,137,12,8.8,103,44,42.7,2.9,3
20,Bedford County,15,Eakin Elementary,Non-Economically Disadvantaged,101,9,8.9,67,27,40.3,2.7,2.9
20,Bedford County,15,Eakin Elementary,Non-Students with Disabilities,146,13,8.9,109,46,42.2,2.9,3
20,Bedford County,15,Eakin Elementary,Students with Disabilities,5,*,*,5,*,*,*,*
20,Bedford County,15,Eakin Elementary,White,7,*,*,7,*,*,*,*
20,Bedford County,17,Cascade Middle School,All Students,2,*,*,2,*,*,*,*
20,Bedford County,17,Cascade Middle School,Black/Hispanic/Native American,2,*,*,2,*,*,*,*
20,Bedford County,17,Cascade Middle School,English Learners,2,*,*,2,*,*,*,*
20,Bedford County,17,Cascade Middle School,Hispanic,2,*,*,2,*,*,*,*
20,Bedford County,17,Cascade Middle School,Non-Economically Disadvantaged,2,*,*,2,*,*,*,*
20,Bedford County,17,Cascade Middle School,Non-Students with Disabilities,1,*,*,1,*,*,*,*
20,Bedford County,17,Cascade Middle School,Students with Disabilities,1,*,*,1,*,*,*,*
20,Bedford County,20,Shelbyville Central High School,All Students,107,7,6.5,89,23,25.8,3.2,3.1
20,Bedford County,20,Shelbyville Central High School,American Indian or Alaska Native,1,*,*,1,*,*,*,*
20,Bedford County,20,Shelbyville Central High School,Asian,3,*,*,1,*,*,*,*
20,Bedford County,20,Shelbyville Central High School,Black or African American,8,*,*,8,*,*,*,*
20,Bedford County,20,Shelbyville Central High School,Black/Hispanic/Native American,95,6,6.3,80,20,25,3.2,3.1
20,Bedford County,20,Shelbyville Central High School,Economically Disadvantaged,35,5,14.3,33,10,30.3,3.6,3.5
20,Bedford County,20,Shelbyville Central High School,English Learners,107,7,6.5,89,23,25.8,3.2,3.1
20,Bedford County,20,Shelbyville Central High School,Hispanic,86,6,7,71,19,26.8,3.2,3.1
20,Bedford County,20,Shelbyville Central High School,Non-Economically Disadvantaged,72,**,**,56,13,23.2,3,2.9
20,Bedford County,20,Shelbyville Central High School,Non-Students with Disabilities,92,5,5.4,76,20,26.3,3.1,3
20,Bedford County,20,Shelbyville Central High School,Students with Disabilities,15,2,13.3,13,3,23.1,3.5,3.4
20,Bedford County,20,Shelbyville Central High School,White,3,*,*,3,*,*,*,*
20,Bedford County,25,Harris Middle School,All Students,92,10,10.9,70,17,24.3,2.7,2.9
20,Bedford County,25,Harris Middle School,Black or African American,5,*,*,5,*,*,*,*
20,Bedford County,25,Harris Middle School,Black/Hispanic/Native American,85,8,9.4,65,15,23.1,2.7,2.9
20,Bedford County,25,Harris Middle School,Economically Disadvantaged,33,6,18.2,33,7,21.2,3.1,3.3
20,Bedford County,25,Harris Middle School,English Learners,92,10,10.9,70,17,24.3,2.7,2.9
20,Bedford County,25,Harris Middle School,Hispanic,80,8,10,60,14,23.3,2.8,3
20,Bedford County,25,Harris Middle School,Native Hawaiian or Other Pacific Islander,1,*,*,1,*,*,*,*
20,Bedford County,25,Harris Middle School,Non-Economically Disadvantaged,59,4,6.8,37,10,27,2.5,2.7
20,Bedford County,25,Harris Middle School,Non-Students with Disabilities,84,9,10.7,62,16,25.8,2.7,2.9
20,Bedford County,25,Harris Middle School,Students with Disabilities,8,*,*,8,*,*,*,*
20,Bedford County,25,Harris Middle School,White,4,*,*,3,*,*,*,*
20,Bedford County,33,Community Elementary School,All Students,15,3,20,13,7,53.8,3.2,3.3
20,Bedford County,33,Community Elementary School,Black/Hispanic/Native American,15,3,20,13,7,53.8,3.2,3.3
20,Bedford County,33,Community Elementary School,Economically Disadvantaged,3,*,*,3,*,*,*,*
20,Bedford County,33,Community Elementary School,English Learners,15,3,20,13,7,53.8,3.2,3.3
20,Bedford County,33,Community Elementary School,Hispanic,15,3,20,13,7,53.8,3.2,3.3
20,Bedford County,33,Community Elementary School,Non-Economically Disadvantaged,12,2,16.7,10,5,50,3.2,3.2
20,Bedford County,33,Community Elementary School,Non-Students with Disabilities,15,3,20,13,7,53.8,3.2,3.3
20,Bedford County,35,Community High School,All Students,7,*,*,4,*,*,*,*
20,Bedford County,35,Community High School,Black/Hispanic/Native American,7,*,*,4,*,*,*,*
20,Bedford County,35,Community High School,Economically Disadvantaged,3,*,*,1,*,*,*,*
20,Bedford County,35,Community High School,English Learners,7,*,*,4,*,*,*,*
20,Bedford County,35,Community High School,Hispanic,7,*,*,4,*,*,*,*
20,Bedford County,35,Community High School,Non-Economically Disadvantaged,4,*,*,3,*,*,*,*
20,Bedford County,35,Community High School,Non-Students with Disabilities,7,*,*,4,*,*,*,*
20,Bedford County,37,Community Middle School,All Students,9,*,*,5,*,*,*,*
20,Bedford County,37,Community Middle School,Black/Hispanic/Native American,9,*,*,5,*,*,*,*
20,Bedford County,37,Community Middle School,Economically Disadvantaged,6,*,*,3,*,*,*,*
20,Bedford County,37,Community Middle School,English Learners,9,*,*,5,*,*,*,*
20,Bedford County,37,Community Middle School,Hispanic,9,*,*,5,*,*,*,*
20,Bedford County,37,Community Middle School,Non-Economically Disadvantaged,3,*,*,2,*,*,*,*
20,Bedford County,37,Community Middle School,Non-Students with Disabilities,9,*,*,5,*,*,*,*
20,Bedford County,39,Learning Way Elementary,All Students,128,16,12.5,90,46,51.1,2.8,3
20,Bedford County,39,Learning Way Elementary,American Indian or Alaska Native,1,*,*,0,*,*,*,*
20,Bedford County,39,Learning Way Elementary,Asian,2,*,*,2,*,*,*,*
20,Bedford County,39,Learning Way Elementary,Black or African American,1,*,*,1,*,*,*,*
20,Bedford County,39,Learning Way Elementary,Black/Hispanic/Native American,110,16,14.5,76,37,48.7,2.9,3.1
20,Bedford County,39,Learning Way Elementary,Economically Disadvantaged,38,9,23.7,38,19,50,3.4,3.5
20,Bedford County,39,Learning Way Elementary,English Learners,128,16,12.5,90,46,51.1,2.8,3
20,Bedford County,39,Learning Way Elementary,Hispanic,108,16,14.8,75,36,48,2.9,3.1
20,Bedford County,39,Learning Way Elementary,Non-Economically Disadvantaged,90,7,7.8,52,27,51.9,2.6,2.7
20,Bedford County,39,Learning Way Elementary,Non-Students with Disabilities,116,16,13.8,80,40,50,2.8,3
20,Bedford County,39,Learning Way Elementary,Students with Disabilities,12,**,**,10,6,60,2.5,2.7
20,Bedford County,39,Learning Way Elementary,White,16,**,**,12,8,66.7,2.1,2.3
20,Bedford County,40,East Side Elementary,All Students,101,21,20.8,69,44,63.8,3.1,3.4
20,Bedford County,40,East Side Elementary,Black or African American,6,*,*,5,*,*,*,*
20,Bedford County,40,East Side Elementary,Black/Hispanic/Native American,98,21,21.4,68,44,64.7,3.1,3.4
20,Bedford County,40,East Side Elementary,Economically Disadvantaged,30,11,36.7,28,18,64.3,3.7,3.9
20,Bedford County,40,East Side Elementary,English Learners,101,21,20.8,69,44,63.8,3.1,3.4
20,Bedford County,40,East Side Elementary,Hispanic,92,21,22.8,63,41,65.1,3.1,3.4
20,Bedford County,40,East Side Elementary,Non-Economically Disadvantaged,71,10,14.1,41,26,63.4,2.9,3.1
20,Bedford County,40,East Side Elementary,Non-Students with Disabilities,92,21,22.8,62,43,69.4,3.2,3.4
20,Bedford County,40,East Side Elementary,Students with Disabilities,9,*,*,7,*,*,*,*
20,Bedford County,53,Liberty Elementary,All Students,20,3,15,13,6,46.2,3.1,3.2
20,Bedford County,53,Liberty Elementary,Black/Hispanic/Native American,14,3,21.4,11,5,45.5,3.3,3.5
20,Bedford County,53,Liberty Elementary,Economically Disadvantaged,4,*,*,4,*,*,*,*
20,Bedford County,53,Liberty Elementary,English Learners,20,3,15,13,6,46.2,3.1,3.2
20,Bedford County,53,Liberty Elementary,Hispanic,14,3,21.4,11,5,45.5,3.3,3.5
20,Bedford County,53,Liberty Elementary,Non-Economically Disadvantaged,16,1,6.3,9,*,*,2.9,3.1
20,Bedford County,53,Liberty Elementary,Non-Students with Disabilities,16,2,12.5,9,*,*,3,3.1
20,Bedford County,53,Liberty Elementary,Students with Disabilities,4,*,*,4,*,*,*,*
20,Bedford County,53,Liberty Elementary,White,5,*,*,2,*,*,*,*
20,Bedford County,75,South Side Elementary,All Students,66,15,22.7,52,33,63.5,3.2,3.5
20,Bedford County,75,South Side Elementary,Black/Hispanic/Native American,61,14,23,48,29,60.4,3.3,3.5
20,Bedford County,75,South Side Elementary,Economically Disadvantaged,24,6,25,24,15,62.5,3.8,3.9
20,Bedford County,75,South Side Elementary,English Learners,66,15,22.7,52,33,63.5,3.2,3.5
20,Bedford County,75,South Side Elementary,Hispanic,61,14,23,48,29,60.4,3.3,3.5
20,Bedford County,75,South Side Elementary,Non-Economically Disadvantaged,42,9,21.4,28,18,64.3,2.9,3.2
20,Bedford County,75,South Side Elementary,Non-Students with Disabilities,60,15,25,47,31,66,3.3,3.6
20,Bedford County,75,South Side Elementary,Students with Disabilities,6,*,*,5,*,*,*,*
20,Bedford County,75,South Side Elementary,White,4,*,*,4,*,*,*,*
20,Bedford County,78,Thomas Magnet Elementary School,All Students,5,*,*,4,*,*,*,*
20,Bedford County,78,Thomas Magnet Elementary School,Asian,2,*,*,2,*,*,*,*
20,Bedford County,78,Thomas Magnet Elementary School,Black/Hispanic/Native American,2,*,*,2,*,*,*,*
20,Bedford County,78,Thomas Magnet Elementary School,Economically Disadvantaged,1,*,*,1,*,*,*,*
20,Bedford County,78,Thomas Magnet Elementary School,English Learners,5,*,*,4,*,*,*,*
20,Bedford County,78,Thomas Magnet Elementary School,Hispanic,2,*,*,2,*,*,*,*
20,Bedford County,78,Thomas Magnet Elementary School,Non-Economically Disadvantaged,4,*,*,3,*,*,*,*
20,Bedford County,78,Thomas Magnet Elementary School,Non-Students with Disabilities,5,*,*,4,*,*,*,*
30,Benton County,10,Big Sandy School,All Students,3,*,*,3,*,*,*,*
30,Benton County,10,Big Sandy School,Black/Hispanic/Native American,3,*,*,3,*,*,*,*
30,Benton County,10,Big Sandy School,Economically Disadvantaged,3,*,*,3,*,*,*,*
30,Benton County,10,Big Sandy School,English Learners,3,*,*,3,*,*,*,*
30,Benton County,10,Big Sandy School,Hispanic,3,*,*,3,*,*,*,*
30,Benton County,10,Big Sandy School,Non-Students with Disabilities,3,*,*,3,*,*,*,*
30,Benton County,15,Briarwood School,All Students,2,*,*,0,*,*,*,*
30,Benton County,15,Briarwood School,Asian,2,*,*,0,*,*,*,*
30,Benton County,15,Briarwood School,Economically Disadvantaged,2,*,*,0,*,*,*,*
30,Benton County,15,Briarwood School,English Learners,2,*,*,0,*,*,*,*
30,Benton County,15,Briarwood School,Non-Students with Disabilities,2,*,*,0,*,*,*,*
30,Benton County,25,Camden Central High School,All Students,1,*,*,1,*,*,*,*
30,Benton County,25,Camden Central High School,Asian,1,*,*,1,*,*,*,*
30,Benton County,25,Camden Central High School,English Learners,1,*,*,1,*,*,*,*
30,Benton County,25,Camden Central High School,Non-Economically Disadvantaged,1,*,*,1,*,*,*,*
30,Benton County,25,Camden Central High School,Non-Students with Disabilities,1,*,*,1,*,*,*,*
30,Benton County,27,Camden Jr High School,All Students,1,*,*,0,*,*,*,*
30,Benton County,27,Camden Jr High School,Asian,1,*,*,0,*,*,*,*
30,Benton County,27,Camden Jr High School,Economically Disadvantaged,1,*,*,0,*,*,*,*
30,Benton County,27,Camden Jr High School,English Learners,1,*,*,0,*,*,*,*
30,Benton County,27,Camden Jr High School,Non-Students with Disabilities,1,*,*,0,*,*,*,*
30,Benton County,30,Holladay Elementary,All Students,1,*,*,0,*,*,*,*
30,Benton County,30,Holladay Elementary,Black/Hispanic/Native American,1,*,*,0,*,*,*,*
30,Benton County,30,Holladay Elementary,English Learners,1,*,*,0,*,*,*,*
30,Benton County,30,Holladay Elementary,Hispanic,1,*,*,0,*,*,*,*
30,Benton County,30,Holladay Elementary,Non-Economically Disadvantaged,1,*,*,0,*,*,*,*
30,Benton County,30,Holladay Elementary,Non-Students with Disabilities,1,*,*,0,*,*,*,*
40,Bledsoe County,5,Bledsoe County High School,All Students,2,*,*,1,*,*,*,*
40,Bledsoe County,5,Bledsoe County High School,Black/Hispanic/Native American,2,*,*,1,*,*,*,*
40,Bledsoe County,5,Bledsoe County High School,English Learners,2,*,*,1,*,*,*,*
40,Bledsoe County,5,Bledsoe County High School,Hispanic,2,*,*,1,*,*,*,*
40,Bledsoe County,5,Bledsoe County High School,Non-Economically Disadvantaged,2,*,*,1,*,*,*,*
40,Bledsoe County,5,Bledsoe County High School,Non-Students with Disabilities,2,*,*,1,*,*,*,*
40,Bledsoe County,6,Bledsoe County Middle School,All Students,3,*,*,1,*,*,*,*
40,Bledsoe County,6,Bledsoe County Middle School,Black/Hispanic/Native American,3,*,*,1,*,*,*,*
40,Bledsoe County,6,Bledsoe County Middle School,Economically Disadvantaged,2,*,*,0,*,*,*,*
40,Bledsoe County,6,Bledsoe County Middle School,English Learners,3,*,*,1,*,*,*,*
40,Bledsoe County,6,Bledsoe County Middle School,Hispanic,3,*,*,1,*,*,*,*
40,Bledsoe County,6,Bledsoe County Middle School,Non-Economically Disadvantaged,1,*,*,1,*,*,*,*
40,Bledsoe County,6,Bledsoe County Middle School,Non-Students with Disabilities,2,*,*,1,*,*,*,*
40,Bledsoe County,6,Bledsoe County Middle School,Students with Disabilities,1,*,*,0,*,*,*,*
40,Bledsoe County,10,Cecil B Rigsby Elementary,All Students,6,*,*,5,*,*,*,*
